Goals,Google,TPR,FNR,FPR,F1,Mapbox,TPR,FNR,FPR,F1,LLM,TPR,FNR,FPR,F1
2, ,0.96,0.04,0.04,0.96, ,1.0,0.0,0.0,1.0, ,0.68,0.32,0.32,0.68
5, ,0.96,0.04,0.04,0.91, ,0.96,0.04,0.04,0.91, ,0.32,0.68,0.68,0.07
10, ,0.96,0.04,0.04,0.83, ,0.8,0.2,0.2,0.44, ,0.2,0.8,0.8,0.01
15, ,0.96,0.04,0.04,0.76, ,0.68,0.32,0.32,0.18, ,0.08,0.92,0.92,0.0
