No. obs,Google,TPR,FNR,FPR,F1,Mapbox,TPR,FNR,FPR,F1,LLM,TPR,FNR,FPR,F1
1, ,1.0,0.0,0.0,1.0, ,0.7,0.3,0.46,0.25, ,0.3,0.7,0.79,0.03
3, ,0.8,0.2,0.2,0.5, ,0.95,0.05,0.1,0.72, ,0.35,0.65,0.85,0.04
5, ,1.0,0.0,0.0,1.0, ,0.9,0.1,0.16,0.59, ,0.3,0.7,0.8,0.03
10, ,1.0,0.0,0.0,1.0, ,0.85,0.15,0.26,0.46, ,0.35,0.65,0.76,0.04
15, ,1.0,0.0,0.0,1.0, ,0.9,0.1,0.16,0.59, ,0.3,0.7,0.94,0.03
