ID,Piccadilly Circus Station London,London Bridge,St. Paul's Cathedral London,Buckingham Palace London,Hyde Park London,London eye,Westminster Abbey London,University of London,Waterloo Station London,Euston Station London,Farringdon Station London,Paddington Station London,Victoria Station London,The British Museum,Tower Bridge London,Kensington Palace London
2.15.3,,15.13,9.95,7.12,3.59,3.92,4.31,0.00,10.34,1.40,3.37,0.00,0.00,1.80,28.92,10.17
2.15.5,,26.41,5.42,4.86,10.43,5.71,6.29,0.00,7.88,1.39,3.58,0.00,0.00,1.45,17.34,9.24
2.15.10,,8.58,18.28,3.69,2.30,8.50,12.17,8.31,4.92,0.00,3.56,0.86,1.76,0.89,19.13,7.05
2.15.15,,17.25,4.62,9.32,2.14,19.28,4.34,0.00,7.42,1.06,3.03,8.78,4.75,4.39,8.13,5.49
2.10.1,,,11.48,16.12,,22.20,,8.11,21.19,2.30,,0.00,,3.06,15.54,0.00
2.10.3,,,14.36,17.97,,33.89,,0.00,10.76,1.97,,5.38,,1.78,0.00,13.89
2.10.5,,,36.45,7.94,,11.09,,0.00,12.48,2.00,,0.00,,1.59,19.14,9.32
2.10.10,,,22.62,10.94,,16.24,,0.00,6.81,1.31,,23.33,,1.56,7.33,9.84
2.10.15,,,28.03,6.42,,5.55,,0.00,24.47,1.19,,23.12,,1.80,2.63,6.78
2.5.1,,,,38.12,,,,0.00,,5.24,,0.00,,,56.64,
2.5.3,,,,56.42,,,,0.00,,5.97,,0.00,,,37.61,
2.5.5,,,,75.54,,,,0.00,,5.67,,0.00,,,18.79,
2.5.10,,,,32.97,,,,0.00,,4.86,,0.00,,,62.17,
2.5.15,,,,27.66,,,,0.00,,3.20,,0.00,,,69.15,
4.10.1,,,,4.16,15.89,21.40,,5.28,7.78,7.64,7.59,12.33,,3.89,,14.04
4.10.3,,,,10.19,36.20,9.09,,4.94,6.02,6.00,4.92,8.73,,7.80,,6.11
4.10.5,,,,10.11,5.12,16.80,,6.02,13.40,6.60,7.35,8.62,,12.71,,13.28
4.10.10,,,,8.83,10.91,10.93,,6.21,16.28,5.64,7.85,11.04,,9.93,,12.38
4.10.15,,,,10.78,22.45,6.73,,6.63,10.61,6.27,4.60,11.32,,3.73,,16.89
4.2.1,,,,,,42.65,,,,,,57.35,,,,
4.2.3,,,,,,28.25,,,,,,71.75,,,,
4.2.5,,,,,,45.60,,,,,,54.40,,,,
4.2.10,,,,,,100.00,,,,,,0.00,,,,
4.2.15,,,,,,42.68,,,,,,57.32,,,,
4.5.1,,,,,,21.83,,34.17,,15.28,,0.00,,,,28.71
4.5.3,,,,,,24.41,,13.62,,10.66,,20.07,,,,31.24
4.5.5,,,,,,24.40,,9.00,,11.68,,31.79,,,,23.12
4.5.10,,,,,,25.11,,10.99,,10.34,,26.86,,,,26.70
4.5.15,,,,,,19.72,,9.09,,22.44,,20.78,,,,27.97
