ID,Piccadilly Circus Station London,London Bridge,St. Paul's Cathedral London,Buckingham Palace London,Hyde Park London,London eye,Westminster Abbey London,University of London,Waterloo Station London,Euston Station London,Farringdon Station London,Paddington Station London,Victoria Station London,The British Museum,Tower Bridge London,Kensington Palace London
2.5.15,,,,5.70,,,,0.00,,0.00,,78.01,,,16.29,
4.10.1,,,,8.25,9.47,7.22,,13.41,6.71,13.41,5.75,13.41,,13.41,,8.94
4.10.3,,,,7.00,6.95,5.30,,12.97,4.42,11.11,7.61,29.17,,10.61,,4.86
4.10.5,,,,7.58,7.41,5.85,,11.37,4.87,10.10,7.06,30.09,,9.74,,5.93
4.10.10,,,,7.52,7.41,5.75,,11.34,4.79,10.03,6.99,30.57,,9.66,,5.93
4.10.15,,,,8.05,7.74,6.36,,11.50,5.30,10.39,7.32,26.84,,10.06,,6.44
4.2.1,,,,,,35.00,,,,,,65.00,,,,
4.2.3,,,,,,15.38,,,,,,84.62,,,,
4.2.5,,,,,,16.27,,,,,,83.73,,,,
4.2.10,,,,,,15.84,,,,,,84.16,,,,
4.2.15,,,,,,19.15,,,,,,80.85,,,,
4.5.1,,,,,,12.80,,23.78,,23.78,,23.78,,,,15.85
4.5.3,,,,,,8.36,,20.44,,17.52,,46.00,,,,7.67
4.5.5,,,,,,9.23,,17.95,,15.95,,47.51,,,,9.36
4.5.10,,,,,,9.04,,17.83,,15.77,,48.04,,,,9.32
4.5.15,,,,,,10.33,,18.69,,16.89,,43.62,,,,10.47
5.2.1,,,,,,,50.00,,,50.00,,,,,,
5.2.3,,,,,,,84.62,,,15.38,,,,,,
5.2.5,,,,,,,80.95,,,19.05,,,,,,
5.2.10,,,,,,,88.40,,,11.60,,,,,,
5.2.15,,,,,,,86.96,,,13.04,,,,,,
2.2.1,,,,,,,,,,0.00,,100.00,,,,
2.2.3,,,,,,,,,,0.00,,100.00,,,,
2.2.5,,,,,,,,,,0.00,,100.00,,,,
2.2.10,,,,,,,,,,0.00,,100.00,,,,
2.2.15,,,,,,,,,,0.00,,100.00,,,,
